Threat_ID,Threat_Name,Lane,Archetype,Surface,Authority_IN,Authority_EU,Authority_US,Velocity,Pain_Tier,Pain_Category,Pain_Depth,Status,Effective_Date,Legal_Pain,FP_Mechanism,FP_Impact,Lex_Nova_Fix,Hunter_Trigger,Provenance,,,
UNI_CNS_007,Unwaivable Reversal Right,A,UNI,Consumer-Public | Enterprise-Private,—,—,UETA §10(2),ACTIVE_NOW,T2,Uncapped Money,Corporate,Active,1999-07-29,UETA §10(2) grants users a non-waivable right to avoid the effect of an electronic record resulting from their error where the electronic agent gave no reasonable opportunity to prevent or correct the error. The right applies to automated transaction systems where no meaningful correction path is provided.,"your product finalizes transactions through an agent, auto-approval, AI execution, or automated workflow with no confirmation step, grace period, or error-correction UI","every wrong automated action turns into a reversal or chargeback, with processor fees or unwind costs attached. the volume scales one-to-one with how many automated transactions the product runs. the more you scale, the bigger the reversal book gets.",UI Mandate — pre-built UETA §10(2) correction module. stops automated mistakes from becoming reversals.,"CONDITION_1: Product includes automated flow OR AI action OR electronic agent OR auto-approval OR one-click execution OR workflow automation OR checkout system finalizing user-impacting transactions or account changes. | CONDITION_2: User can make material error before finalization: prompt error OR quantity error OR recipient error OR configuration error OR account error OR payment error OR wrong-option error. | CONDITION_3: UI lacks one or more correction controls: confirmation screen OR review step OR correction path OR reversal window OR grace period OR error-detection prompt. | CONDITION_4: Product serves US users/customers OR does not exclude US transactions. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE AND CONDITION_4 = TRUE | EXCLUDE_IF: First-party UI OR product documentation OR terms show meaningful pre-final confirmation, review/correction path, reversal window, or error-correction mechanism before the user-impacting action becomes binding.",v1:UNI_CNS_007,UNI,CNS,7
UNI_CNS_IN1,DPDP Consent Architecture Failure,Both,UNI,PII,DPDP Act 2023 §6 + DPDP Rules 2025 (G.S.R. 846(E)),GDPR Art. 6/7 (lawful basis / consent),CCPA/CPRA opt-out; state consent laws,ACTIVE_NOW,T1,Existential,Corporate,Active,2025-11-14,Bundled/blanket consent is void under DPDP's free-specific-informed-unambiguous standard; Consent Manager regime applies.,Your signup bundles all permissions into one 'I Agree' and has no granular withdrawal.,Processing without valid consent; penalties up to ₹250 crore.,DOC_DPA (India consent module),"CONDITION_1: Product processes digital personal data through collection OR storage OR use OR sharing OR analysis OR training OR profiling OR retrieval OR deletion OR user-upload processing OR employee-data processing OR document ingestion. | CONDITION_2: Privacy notice OR consent flow OR onboarding OR intake lacks one or more elements: purpose OR data categories OR withdrawal route OR grievance/contact route OR legal basis OR consent-manager path OR sensitive-data handling. | CONDITION_3: Product serves Indian users OR has Indian operations OR processes Indian personal data OR does not exclude India. | CONDITION_4: Equivalent consent/legal-basis gap appears for EU/UK OR US users where served or not excluded. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND (CONDITION_3 = TRUE OR CONDITION_4 = TRUE) | EXCLUDE_IF: First-party UI OR consent banner OR privacy notice OR settings panel OR DPA OR consent log shows jurisdiction-specific notice, valid consent/legal-basis posture, purpose-linked consent, withdrawal route, and data-principal/user rights workflow sufficient to defeat the consent-gap conditions.",v2-new IN-01 · verified 2026-06 · marquee parallel-fill (verified 2026-06),UNI,CNS,IN1
UNI_CNS_IN2,India Dark-Patterns Regime,Both,UNI,Consumer-Public,"CCPA Dark Patterns Guidelines 2023 (§18 CPA 2019, 30 Nov 2023) — 13 specified patterns",UCPD; DSA,FTC §5; ROSCA,ACTIVE_NOW,T2,Uncapped Money,Corporate,Active,2023-11-30,Thirteen specified dark patterns are actionable as unfair trade practices under the CPA 2019; distinct from FTC framing.,Your cancellation flow uses a confirm-shaming interstitial.,Consumer complaints + CCPA enforcement under the CPA.,DOC_TOS / DOC_AUP (consent module),"CONDITION_1: Product uses public OR consumer-facing interface for signup OR purchase OR subscription OR cancellation OR privacy choice OR account deletion OR consent OR opt-out OR upgrade OR renewal OR payment. | CONDITION_2: Interface shows one or more non-transparent choice-design patterns identified under applicable consumer-protection rules. | CONDITION_3: Product serves Indian consumers OR has Indian operations OR targets Indian users OR does not exclude India. | CONDITION_4: Same interface pattern is used for US OR EU/UK consumers OR product is globally available without jurisdiction-specific controls. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND (CONDITION_3 = TRUE OR CONDITION_4 = TRUE) | EXCLUDE_IF: First-party UI OR product documentation OR help center OR terms show clear pricing, consent, cancellation, opt-out, account-action, and payment choices with transparent presentation, accessible controls, and no misleading choice architecture sufficient to defeat the dark-pattern conditions.",v2-new IN-06 · verified 2026-06,UNI,CNS,IN2
JDG_DEC_001,Vendor Immunity and HITL Theater,A,JDG,Employment,—,—,Mobley v. Workday (N.D. Cal. 2024-2026),ACTIVE_NOW,T2,,,Active,2024-07-12,"Mobley v. Workday rejected AI vendor immunity from employment discrimination liability, allowing suit under an ""agency"" theory treating the AI vendor as acting on behalf of the employer.","your product drives consequential decisions about people — hiring, lending, healthcare — while the architecture relies on ""human in the loop"" that's really just clicking approve, and Mobley v. Workday rejected that defense as vendor immunity theater","direct liability for discrimination damages alongside the employer customer. class action exposure when the decision pattern affects a protected group at scale. and the ""we just provide the tool"" defense that the category relied on has been rejected on the record.",DOC_AGT §2.2 — pre-built Mobley-resilient decision-architecture and human-judgment module.,"CONDITION_1: Product supports OR scores OR ranks OR recommends consequential decisions about people. | CONDITION_2: Product relies on vendor tool posture OR customer-side HITL that is nominal OR approval-only OR not substantively documented. | CONDITION_3: Decision context includes employment OR hiring OR lending OR healthcare OR education OR insurance OR similar high-impact domain. | CONDITION_4: Terms OR workflow lack one or more controls: meaningful human judgment OR bias audit route OR decision log OR customer responsibility allocation OR appeal/escalation route. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_3 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE | EXCLUDE_IF: Workflow documents meaningful human judgment, decision logs, bias review, and allocation of vendor/customer responsibilities.",v1:I02_DEC_001,JDG,DEC,1
JDG_DEC_002,Illegal Consumer Reporting Agency Classification,A,JDG,Employment,—,—,Class Action v. Eightfold AI (2026) / Fair Credit Reporting Act,ACTIVE_NOW,T2,,,Active,2026-01-01,"Class action filings against Eightfold AI and parallel cases assert that AI scoring products meeting the functional CRA definition must comply with FCRA. Non-compliance triggers statutory damages of $100-$1,000 per scored candidate.","your product scores candidates or individuals using data assembled from multiple sources — which meets the functional FCRA definition of a Consumer Reporting Agency — but you don't comply with CRA obligations like notice, dispute rights, or user access to scores","statutory damages of $100-$1,000 per scored candidate, multiplied by every individual the product evaluated. attorney fees on top. and the CRA-compliance retrofit reshapes the product's data flow.",DOC_AUP §3.4(a) — pre-built FCRA-aware CRA-status module. qualifies you for compliance or demonstrably excludes you.,"CONDITION_1: Product scores OR ranks OR profiles candidates OR individuals using data from multiple sources. | CONDITION_2: Output is used for eligibility OR suitability OR screening OR evaluation in employment OR similar decision context. | CONDITION_3: Product lacks one or more CRA/FCRA controls: notice OR authorization OR access/dispute workflow OR adverse-action workflow OR exclusion from CRA status. | CONDITION_4: Product serves US employers OR US individuals OR does not exclude US markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product is demonstrably outside CRA scope OR includes notice, authorization, access, dispute, and adverse-action workflows.",v1:I02_DEC_002,JDG,DEC,2
JDG_DEC_003,Healthcare Sole-Decision-Maker Bans,A,JDG,Sensitive/Biometric | Employment,Clinical/insurance decision duties under Indian health/consumer law where applicable,EU AI Act health/insurance high-risk use where applicable,"State Insurance Codes: Arizona, Maryland, Nebraska, Texas",ACTIVE_NOW,T2,Uncapped Money,Corporate,Active,2024-01-01,"Arizona, Maryland, Nebraska, and Texas have enacted state insurance code provisions explicitly prohibiting health insurers from using AI as the sole decision-maker for coverage denials.","your AI denies healthcare coverage or prior authorizations without meaningful clinical human review — and four states (AZ, MD, NE, TX) have now banned AI as the sole decision-maker for these determinations",state regulatory enforcement against the insurer customer. bad-faith damages uncapped by policy limits. and class-action exposure per denied member for the AI vendor under Mobley-style agency theory.,DOC_TOS §5.1 — pre-built state-insurance-code-aligned clinical-review module.,"CONDITION_1: Product supports healthcare OR insurance coverage OR prior-authorization decisions. | CONDITION_2: AI output can become sole OR primary basis for adverse coverage decision. | CONDITION_3: Product serves AZ OR MD OR NE OR TX OR US healthcare/insurance customers OR does not exclude those markets. | CONDITION_4: Workflow lacks one or more controls: meaningful clinical review OR reviewer override OR decision rationale OR appeal route OR state-specific prohibition check. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Workflow requires meaningful clinical human review, override, rationale, appeal route, and state-specific restriction check.",v1:I02_DEC_003,JDG,DEC,3
JDG_DEC_004,Mandatory Bias Audit Regimes,A,JDG,Employment,DPDP / employment-data processing principles where applicable,EU AI Act high-risk employment use where applicable,NYC Local Law 144 / Illinois HB 3773,ACTIVE_NOW,T3,Deal Death,Corporate,Active,2023-07-05,NYC Local Law 144 and Illinois HB 3773 require annual independent bias audits of AEDTs with publication and candidate notice obligations.,your employment AI operates in NYC or Illinois without the annual independent bias audit or the statutory candidate notice — both are required for AEDTs under Local Law 144 and HB 3773,civil penalties per occurrence for the audit failure. per-candidate statutory damages for the notice failure. and the audit commission itself is a 60-90 day lead-time project,DOC_AUP §3.4(a) — pre-built Local Law 144 / HB 3773 AEDT audit and notice module.,"CONDITION_1: Product is used for employment OR hiring OR promotion OR candidate evaluation. | CONDITION_2: Product qualifies OR may qualify as AEDT or equivalent automated employment decision tool. | CONDITION_3: Product operates in NYC OR Illinois OR does not exclude those markets. | CONDITION_4: Public/customer materials lack one or more controls: independent audit OR candidate notice OR audit publication OR data-retention notice OR alternative selection process route. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product has current independent audit, candidate notice workflow, publication route, and jurisdiction-specific AEDT controls.",v1:I02_DEC_004,JDG,DEC,4
JDG_DEC_005,Colorado AI Act — Repealed & Replaced,A,JDG,Employment,—,—,"Colorado AI Act, SB 24-205; enforcement delayed to 2026-06-30 per SB 24-318",THIS_YEAR,T3,Deal Death,Corporate,Upcoming,2026-06-30,"Colorado SB 24-205 remains a high-risk AI governance regime, with enforcement delayed to June 30, 2026. It requires documented risk management, disclosures, and impact-assessment-style governance for covered high-risk AI systems.","your product makes consequential decisions affecting Colorado residents — and starting June 30, 2026, the Colorado AI Act requires documented impact assessments, consumer opt-outs, and specific disclosures that you probably don't have yet","civil penalties up to $20,000 per violation. Colorado market access narrows until compliance lands. and the impact-assessment framework is a material engineering and documentation project, not a checkbox",DOC_AUP §3.4(a) — pre-built SB24-205 impact-assessment and opt-out module.,"CONDITION_1: Product makes OR supports consequential decisions affecting Colorado residents. | CONDITION_2: Decision context includes employment OR lending OR housing OR insurance OR healthcare OR education OR similar high-impact domain. | CONDITION_3: Product lacks one or more controls: risk management policy OR impact assessment OR disclosure workflow OR appeal/correction route OR deployer documentation. | CONDITION_4: Product serves Colorado OR does not exclude Colorado. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product has Colorado-ready risk management, disclosures, impact assessment, and deployer documentation workflow.",v1:I02_DEC_005 · verification-gate corrected (2026-06),JDG,DEC,5
JDG_DEC_006,EU AI Act High-Risk Classification,A,JDG,Employment,DPDP / automated decision processing where applicable,EU AI Act Annex III high-risk; Regulation (EU) 2024/1689,—,THIS_YEAR,T2,Uncapped Money,Corporate,Upcoming,2027-12-02,"EU AI Act Articles 6-7 classify Annex III AI systems as ""high-risk,"" triggering conformity assessment, CE marking, technical documentation, and post-market monitoring. Non-conformity penalties reach €15M or 3% of global annual turnover.","your product falls into EU AI Act Annex III high-risk categories — HR, healthcare, credit, insurance, education — and starting August 2, 2026 you need conformity assessment, CE marking, and post-market monitoring",fines up to €15M or 3% of global revenue for non-conformity. EU market access gated on CE marking. and the conformity assessment itself is a 4-6 month engineering-plus-documentation project,DOC_TOS §5.1 — pre-built Annex III conformity and CE-marking module.,"CONDITION_1: Product is used in EU high-risk contexts: employment OR education OR credit OR insurance OR healthcare OR law enforcement OR public services OR similar Annex III domain. | CONDITION_2: Product performs risk scoring OR ranking OR eligibility decision OR recommendation OR automated assessment. | CONDITION_3: Product lacks one or more controls: conformity documentation OR risk management file OR human oversight OR post-market monitoring OR technical documentation OR deployer instructions. | CONDITION_4: Product serves EU users/customers OR does not exclude EU markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product has Annex III classification review, risk management, technical documentation, human oversight, and deployer instructions.",v1:I02_DEC_006 · verification-gate corrected (2026-06),JDG,DEC,6
JDG_DEC_007,State AI Law Preemption Uncertainty,A,JDG,Employment,—,—,Federal/state AI preemption litigation and policy uncertainty,WATCH,T5,Friction,Corporate,Pending,TBD,"The DOJ AI Litigation Task Force and federal stakeholders are pursuing preemption theories against state-level AI employment and decisioning laws. Outcome uncertain — either way, one side of compliance investment risks rework.","your compliance posture is built around specific state AI laws that federal stakeholders are trying to preempt — and whichever way it goes, one side of the compliance investment is wasted work",rework of compliance architecture depending on preemption outcome. sunk costs in state-specific compliance if federal preemption succeeds. or additional state-by-state compliance if preemption fails and more states pass laws.,DOC_AUP §3.4(a) — pre-built preemption-resilient compliance module. survives either outcome.,"CONDITION_1: Product compliance posture depends on state-specific AI decisioning laws OR employment AI rules OR automated decision laws. | CONDITION_2: Applicable federal or state preemption posture is unsettled OR under active legal/policy dispute. | CONDITION_3: Product serves multiple US states OR does not exclude US markets. | CONDITION_4: Compliance architecture lacks one or more controls: modular state-law map OR federal-preemption watch route OR fallback controls OR update workflow. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product has modular compliance architecture and update workflow that survives either federal or state-law outcome.",v1:I02_DEC_007,JDG,DEC,7
JDG_DEC_008,GDPR Right Against Automated Decisions,A,JDG,Employment,—,GDPR Article 22,—,ACTIVE_NOW,T2,,,Active,2018-05-25,GDPR Article 22 grants EU data subjects the right not to be subject to solely automated decisions producing legal or similarly significant effects. Violations fall under Article 83(5) — the highest penalty tier at €20M or 4% of global annual turnover.,"your product makes consequential decisions about EU users with no human in the loop, no explicit opt-in, and without the decision being strictly needed to fulfill a contract the user signed up for — which is exactly what GDPR Article 22 prohibits",GDPR fines up to €20M or 4% of global revenue — the highest penalty tier. supervisory authority orders to architecturally add human review. and EU decisions going back into the company's history become retrospectively actionable,DOC_TOS §7.4 — pre-built Article 22 human-review and consent module.,"CONDITION_1: Product makes OR supports solely automated decisions about EU users. | CONDITION_2: Decision produces legal OR similarly significant effects. | CONDITION_3: Product lacks one or more controls: explicit consent route OR contract-necessity basis OR human review OR contestation route OR explanation workflow. | CONDITION_4: Product serves EU users/customers OR does not exclude EU markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product has valid Article 22 basis plus human review, contestation, and explanation workflow.",v1:I02_DEC_008,JDG,DEC,8
JDG_DEC_009,Illinois AIVAA Video Interview Consent,A,JDG,Employment,DPDP / employment-data processing principles where applicable,EU AI Act / GDPR employment transparency principles where applicable,Illinois AI Video Interview Act (820 ILCS 42),ACTIVE_NOW,T2,Uncapped Money,Corporate,Active,2020-01-01,Illinois AIVAA requires written consent and candidate notification before AI is used to analyze video interviews. Non-compliance is actionable by candidates under the statute and creates employment discrimination exposure.,"your product analyzes video interviews for Illinois job candidates without the written consent, notification, or AI-use explanation that the AIVAA requires",statutory damages per affected candidate. employment discrimination exposure on top when the AI's assessment affected protected groups. and the remediation requires restructuring the candidate consent and notification flow across the Illinois pipeline,DOC_AUP §3.4(a) — pre-built AIVAA consent and notification module for Illinois video interviews.,"CONDITION_1: Product analyzes video interviews OR recorded candidate interviews OR interview media using AI. | CONDITION_2: Product is used for Illinois candidates OR does not exclude Illinois. | CONDITION_3: Workflow lacks one or more controls: written consent OR AI-use notice OR explanation of evaluation process OR sharing limitation OR deletion route. | CONDITION_4: Output is used for hiring OR screening OR candidate evaluation. | TRIGGER_IF: CONDITION_1 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: Workflow provides written consent, AI-use notice, explanation, sharing limits, and deletion route before interview analysis.",v1:I02_DEC_009,JDG,DEC,9
JDG_DEC_010,Texas TRAIGA Prohibited Uses,A,JDG,Employment,DPDP / automated decision processing principles where applicable,EU AI Act / GDPR high-impact decisioning principles where applicable,"Texas Responsible AI Governance Act (TRAIGA, HB 149)",ACTIVE_NOW,T3,Deal Death,Corporate,Active,2026-01-01,"Texas TRAIGA establishes a comprehensive Texas AI governance framework with enumerated prohibited uses, a NIST AI RMF affirmative defense, and AG-only enforcement.",your product affects Texas residents in consequential contexts and either engages in TRAIGA-prohibited uses or doesn't have the NIST AI RMF posture that qualifies for the affirmative defense,civil penalties per violation plus injunctive relief. Texas market access narrows until the compliance posture is in place. and the NIST AI RMF implementation is a significant documentation and process project,DOC_AUP §3.4(a) — pre-built TRAIGA-aligned NIST AI RMF affirmative-defense module.,"CONDITION_1: Product affects Texas residents in consequential contexts OR high-impact AI contexts. | CONDITION_2: Product may involve prohibited-use category OR lacks documented NIST AI RMF-aligned governance posture. | CONDITION_3: Product serves Texas OR does not exclude Texas. | CONDITION_4: Product lacks one or more controls: prohibited-use review OR NIST AI RMF mapping OR governance documentation OR user notice OR AG-enforcement response route. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_3 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE | EXCLUDE_IF: Product has TRAIGA scope review, prohibited-use screen, NIST AI RMF mapping, and governance documentation.",v1:I02_DEC_010,JDG,DEC,10
JDG_DEC_LB1,Deployed HR-Tool Bias (Employer),B,JDG,Employment,DPDP employee data processing principles,GDPR Art. 22; EU AI Act Annex III high-risk employment use,Title VII / EEOC; NYC Local Law 144; IL HB 3773; TX TRAIGA,ACTIVE_NOW,T1,Existential,Corporate,Active,2026-01-01,Deploying a third-party AI hiring tool exposes the employer to direct disparate-impact liability; Mobley v. Workday (ongoing) shows the vendor can also be liable as an agent.,You screen applicants with a vendor AI and run no bias audit.,Disparate-impact claims; bias-audit mandates; Colorado repealed/replaced.,DOC_DPIA + DOC_SOP,"CONDITION_1: Employer deploys third-party AI tool for hiring OR screening OR promotion OR workforce evaluation. | CONDITION_2: Tool affects applicants OR employees OR candidates. | CONDITION_3: Employer lacks one or more controls: bias audit OR DPIA/assessment OR candidate notice OR human review OR vendor diligence OR adverse-impact monitoring. | CONDITION_4: Use touches India OR US OR EU/UK OR global workforce/candidates. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: Employer maintains vendor diligence, audit/assessment, notice, human review, and adverse-impact monitoring.",v2-new LB-03 · Mobley ongoing; Colorado repealed · verified 2026-06,JDG,DEC,LB1
JDG_DEC_LB2,DPIA / FRIA Failure,B,JDG,Employment | Enterprise-Private,DPDP Act 2023 section 10 where SDF/DPIA duties apply,GDPR Art. 35; EU AI Act Art. 27 FRIA,—,THIS_YEAR,T2,Uncapped Money,Corporate,Upcoming,2026-08-02,Deploying high-risk AI without a data-protection impact / fundamental-rights assessment.,You deployed an internal scoring model with no documented assessment.,Regulatory liability; FRIA primarily public-sector/essential services.,DOC_DPIA,"CONDITION_1: Organization deploys high-risk OR consequential AI system internally OR for customer-facing use. | CONDITION_2: Use case requires OR may require DPIA OR FRIA OR fundamental-rights/data-protection assessment. | CONDITION_3: Organization lacks one or more controls: DPIA OR FRIA OR risk assessment OR stakeholder review OR mitigation log OR approval record. | CONDITION_4: Use touches India OR EU/UK OR regulated/enterprise context. | TRIGGER_IF: CONDITION_1 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: Organization maintains DPIA/FRIA or equivalent risk assessment with mitigation log and approval record.",v2-new LB-04 · verified 2026-06,JDG,DEC,LB2
JDG_DEC_LB3,Missing Internal HITL,B,JDG,Employment,DPDP / automated processing principles where applicable,GDPR Art. 22; EU AI Act Art. 14 human oversight,State automated-decision rules where applicable,ACTIVE_NOW,T2,Uncapped Money,Corporate,Active,2024-01-01,Internal automated decisions without a human-oversight protocol.,Promotions/terminations routed through AI with no human checkpoint.,Automated-decision liability; oversight duties under GDPR/AI Act.,DOC_SOP (HITL protocol),"CONDITION_1: Organization uses AI for internal decisions affecting employees OR contractors OR applicants. | CONDITION_2: Decision flow lacks meaningful human checkpoint OR documented reviewer authority. | CONDITION_3: Use case affects promotion OR termination OR discipline OR hiring OR compensation OR equivalent workforce outcome. | CONDITION_4: Organization lacks one or more controls: HITL protocol OR review log OR escalation route OR override authority OR decision rationale record. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_3 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE | EXCLUDE_IF: Organization has HITL protocol, reviewer authority, logs, escalation route, and rationale record for internal AI decisions.",v2-new LB-06,JDG,DEC,LB3
UNI_DEC_001,EU AI Act Prohibited Practices,A,UNI,Employment,—,EU AI Act Article 5 (Regulation (EU) 2024/1689),—,ACTIVE_NOW,T1,Existential,Corporate,Active,2025-02-02,"EU AI Act Article 5 establishes outright prohibitions on eight categories of AI practice. Penalties reach €35 million or 7% of global annual turnover, whichever is higher — the highest penalty tier in the AI Act.","your product operates AI functionality in the EU that falls into one of Article 5's prohibited-practice categories — manipulation, emotion recognition in work or school, untargeted biometric scraping, others — and Article 5 is an outright ban, not a regulated-use regime",fines up to €35M or 7% of global revenue per infraction. EU market access removed for the prohibited functionality. and the enforcement framework treats the prohibition as absolute — no compliance posture cures it.,DOC_AUP §2.5 — pre-built Article 5 product-scope review module. keeps you out of prohibited-practice territory.,"CONDITION_1: Product offers AI functionality in the EU OR does not exclude EU markets. | CONDITION_2: Functionality may fall into an Article 5 prohibited-practice category. | CONDITION_3: Product lacks one or more controls: prohibited-practice screen OR product-scope review OR EU market exclusion OR feature-level disablement OR legal review gate. | CONDITION_4: Public materials describe functionality involving user influence OR workplace/school emotion analysis OR biometric categorization OR prohibited scoring-type use. | TRIGGER_IF: CONDITION_1 = TRUE AND AT_LEAST_1_OF(CONDITION_2, CONDITION_4) = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: Product has Article 5 scope screen, excludes prohibited features, or disables EU access for covered functionality.",v1:UNI_DEC_001,UNI,DEC,1
UNI_DEC_IN1,MeitY AI Governance Advisories,Both,UNI,Infrastructure,"MeitY AI advisories / deployment and labelling expectations — evolving, watch only",—,—,WATCH,T4,Regulatory Heat,Corporate,Watch,,"MeitY deployment/labelling expectations are evolving; tracked as emerging, not a hard rule.",You deploy a frontier model in India with no labelling posture.,Forward-looking; flagged Watch to preserve registry rigor.,governance (monitor),"CONDITION_1: Product deploys frontier OR generative OR public-facing AI in India. | CONDITION_2: Product lacks one or more emerging-governance controls: AI label OR user notice OR output disclosure OR grievance path OR deployment-risk note OR model/provider documentation. | CONDITION_3: Product serves India OR has Indian operations OR does not exclude India. | CONDITION_4: Current hard-law instrument is unclear OR advisory posture is evolving. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: Product has India-facing AI labelling, user notice, grievance path, and governance-monitoring process; keep as WATCH until hard instrument crystallizes.",v2-new IN-11 · Watch · no hard instrument 2026-06,UNI,DEC,IN1
DOE_FIN_001,Runaway-Agent Financial Liability,A,DOE,Financial | Enterprise-Private,Indian Contract Act (agency); IT Act §11 (attribution),EU AI Act (high-risk duties where applicable),UETA §14 (electronic agent binds principal),ACTIVE_NOW,T1,,,Active,2024-01-01,An autonomous agent loops or over-spends; under UETA §14 the electronic agent's acts bind the principal.,Your agent has API spend authority and no per-session/retry/loop cap.,Uncapped spend; binding transactions; the Circuit Breaker is the fix.,DOC_AGT (Circuit Breaker),"CONDITION_1: Product includes autonomous OR semi-autonomous agent functionality with financial authority OR API spend authority OR purchasing authority OR payment authority OR usage-cost authority OR resource-provisioning authority. | CONDITION_2: Agent can trigger spend OR charges OR paid API calls OR paid workflows OR financial commitments without real-time human approval for each action. | CONDITION_3: Terms OR product documentation OR UI lack one or more financial circuit-breaker controls: per-session cap OR daily spend cap OR retry limit OR loop limit OR approval threshold OR anomaly stop OR kill switch OR user confirmation. | CONDITION_4: Product serves enterprise OR commercial OR US OR India OR EU/UK OR global customers OR public materials do not exclude those markets. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND CONDITION_3 = TRUE | EXCLUDE_IF: First-party public materials OR customer-facing legal documents OR product documentation OR UI show financial circuit-breaker controls that defeat the trigger, including spend caps, retry/loop limits, approval thresholds, kill switch, action logs, and customer confirmation for consequential financial actions.",v2-new DOER-01 · marquee parallel-fill (verified 2026-06),DOE,FIN,1
JDG_FRD_001,AI Evidence Fabrication,A,JDG,Enterprise-Private,Indian Evidence Act / BSA and professional filing duties where applicable,EU/UK court and regulatory filing accuracy duties where applicable,FRCP Rule 11 sanctions / 18 U.S.C. section 1623 / federal AI citation rulings,ACTIVE_NOW,T2,Uncapped Money,Personal,Active,2024-01-01,Federal courts have imposed Rule 11 sanctions on attorneys for AI-hallucinated case citations. The pattern extends to criminal perjury exposure under 18 U.S.C. §1623. Customer attorneys facing sanctions flow back to the AI vendor through indemnification claims.,"your product generates content for legal or regulatory filings without citation-verification or hallucination-detection — and federal courts are sanctioning attorneys for AI-hallucinated case citations, with criminal perjury exposure attaching when the fabrication is sworn",customer indemnification claims for Rule 11 sanctions the attorney incurred. breach-of-professional-responsibility theories targeting the product's architecture. and criminal exposure flowing back when the fabricated citation was in a sworn filing,DOC_AUP §2.7 — pre-built Rule 11 / §1623-aware citation-verification and hallucination-detection module.,"CONDITION_1: Product generates legal OR regulatory OR evidentiary content for filings, submissions, pleadings, affidavits, citations, or formal customer work product. | CONDITION_2: Output may include citations OR factual assertions OR source-backed claims OR evidence summaries. | CONDITION_3: Product lacks one or more controls: citation verification OR source trace OR hallucination check OR human review OR filing-use disclaimer OR audit log. | CONDITION_4: Product serves legal OR compliance OR regulated customers OR does not exclude filing/submission use. | TRIGGER_IF: CONDITION_1 = TRUE AND CONDITION_2 = TRUE AND AT_LEAST_1_OF(CONDITION_3, CONDITION_4) = TRUE | EXCLUDE_IF: Product requires source verification, human review, citation trace, and filing-use limitations before formal use.",v1:I02_FRD_001,JDG,FRD,1
